Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/courses,333463,0,29,28.563029530697342,2.2374719992512837,113.54344299979857,177.38499923529747,2778.1739633778266,0.0,29,31,32,33,36,38,42,45,53,61,110
,Aggregated,333463,0,29,28.563029530697342,2.2374719992512837,113.54344299979857,177.38499923529747,2778.1739633778266,0.0,29,31,32,33,36,38,42,45,53,61,110
